2017-05-18 10:41:48.195 [main:755 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gaotianye.springboot.spider.SpiderApplicationTests], using SpringBootContextLoader
2017-05-18 10:41:53.519 [main:6079] [c.g.s.spider.runner.StartUpRunner] - [ INFO ]  #########京东redis初始化url：https://item.jd.com/4390094.html
2017-05-18 10:41:53.519 [main:6079] [c.g.s.spider.runner.StartUpRunner] - [ INFO ]  #########下载实现类：com.gaotianye.springboot.spider.download.HttpClientDownloadImpl
2017-05-18 10:41:53.519 [main:6079] [c.g.s.spider.runner.StartUpRunner] - [ INFO ]  #########解析实现类：com.gaotianye.springboot.spider.process.JDProcessImpl
2017-05-18 10:41:53.523 [main:6083] [c.g.s.spider.SpiderApplicationTests] - [ INFO ]  Started SpiderApplicationTests in 4.874 seconds (JVM running for 6.872)
2017-05-18 10:41:54.742 [main:7302] [c.g.s.spider.utils.PageUtils] - [ INFO ]  页面下载成功，消耗时间：490,url：https://item.jd.com/4390094.html
2017-05-18 10:41:55.258 [main:7818] [c.g.s.spider.utils.PageUtils] - [ INFO ]  页面下载成功，消耗时间：25,url：http://p.3.cn/prices/mgets?skuIds=J_4390094
2017-05-18 10:42:00.020 [pool-1-thread-1:12580] [c.g.s.spider.scheduler.Spider] - [ INFO ]  开始执行调度任务.......................
2017-05-18 10:42:00.443 [pool-1-thread-1:13003] [c.g.s.spider.utils.PageUtils] - [ INFO ]  页面下载成功，消耗时间：398,url：https://item.jd.com/4390094.html
2017-05-18 10:42:01.045 [pool-1-thread-1:13605] [c.g.s.spider.utils.PageUtils] - [ INFO ]  页面下载成功，消耗时间：15,url：http://p.3.cn/prices/mgets?skuIds=J_4390094
2017-05-18 10:48:36.532 [main:511 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gaotianye.springboot.spider.SpiderApplicationTests], using SpringBootContextLoader
2017-05-18 10:48:36.542 [main:521 ] [o.s.t.c.s.AbstractContextLoader] - [ INFO ]  Could not detect default resource locations for test class [com.gaotianye.springboot.spider.SpiderApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-05-18 10:48:36.543 [main:522 ] [o.s.t.c.s.AnnotationConfigContextLoaderUtils] - [ INFO ]  Could not detect default configuration classes for test class [com.gaotianye.springboot.spider.SpiderApplicationTests]: SpiderApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-05-18 10:48:36.764 [main:743 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Found @SpringBootConfiguration com.gaotianye.springboot.spider.SpiderApplication for test class com.gaotianye.springboot.spider.SpiderApplicationTests
2017-05-18 10:48:36.782 [main:761 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-18 10:48:36.804 [main:783 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2017-05-18 10:48:36.814 [main:793 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
2017-05-18 10:48:36.814 [main:793 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1f5886b4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6cf3a37f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6f731eba, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6ee67e7f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5e7afcba, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5c6647cb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3ef38fd1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@686702a0, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@42dd8bec, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5f0d553f]
2017-05-18 10:48:37.739 [main:1718] [c.g.s.spider.SpiderApplicationTests] - [ INFO ]  Starting SpiderApplicationTests on DESKTOP-I84AP7P with PID 108 (started by gaotianye in E:\CelLoud\spider)
2017-05-18 10:48:37.740 [main:1719] [c.g.s.spider.SpiderApplicationTests] - [ INFO ]  The following profiles are active: dev
2017-05-18 10:48:37.825 [main:1804] [o.s.w.c.s.GenericWebApplicationContext] - [ INFO ]  Refreshing org.springframework.web.context.support.GenericWebApplicationContext@3a11e75f: startup date [Thu May 18 10:48:37 CST 2017]; root of context hierarchy
2017-05-18 10:48:38.423 [background-preinit:2402] [o.h.validator.internal.util.Version] - [ INFO ]  HV000001: Hibernate Validator 5.2.4.Final
2017-05-18 10:48:41.924 [main:5903] [o.s.w.s.m.m.a.RequestMappingHandlerAdapter] - [ INFO ]  Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@3a11e75f: startup date [Thu May 18 10:48:37 CST 2017]; root of context hierarchy
2017-05-18 10:48:42.142 [main:6121] [o.s.w.s.m.m.a.RequestMappingHandlerMapping] - [ INFO ]  Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
