2017-05-22 10:48:35.376 [main:788 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gaotianye.springboot.spider.SpiderApplicationTests], using SpringBootContextLoader
2017-05-22 10:48:35.390 [main:802 ] [o.s.t.c.s.AbstractContextLoader] - [ INFO ]  Could not detect default resource locations for test class [com.gaotianye.springboot.spider.SpiderApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-05-22 10:48:35.392 [main:804 ] [o.s.t.c.s.AnnotationConfigContextLoaderUtils] - [ INFO ]  Could not detect default configuration classes for test class [com.gaotianye.springboot.spider.SpiderApplicationTests]: SpiderApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-05-22 10:48:35.793 [main:1205] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Found @SpringBootConfiguration com.gaotianye.springboot.spider.SpiderApplication for test class com.gaotianye.springboot.spider.SpiderApplicationTests
2017-05-22 10:48:35.813 [main:1225] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-22 10:48:35.883 [main:1295] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2017-05-22 10:48:35.886 [main:1298] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
2017-05-22 10:48:35.887 [main:1299] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@62acfe94, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4b7dd928, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@333bf7d0, org.springframework.test.context.support.DirtiesContextTestExecutionListener@260a92f7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@36a9a4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4bb4e18, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@25040c15, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2cb549af, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@31f89717, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@378780a2]
2017-05-22 10:48:37.235 [main:2647] [c.g.s.spider.SpiderApplicationTests] - [ INFO ]  Starting SpiderApplicationTests on DESKTOP-I84AP7P with PID 2508 (started by gaotianye in E:\CelLoud\spider)
2017-05-22 10:48:37.235 [main:2647] [c.g.s.spider.SpiderApplicationTests] - [ INFO ]  The following profiles are active: dev
2017-05-22 10:48:37.346 [main:2758] [o.s.w.c.s.GenericWebApplicationContext] - [ INFO ]  Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6c1826dc: startup date [Mon May 22 10:48:37 CST 2017]; root of context hierarchy
2017-05-22 10:48:38.031 [background-preinit:3443] [o.h.validator.internal.util.Version] - [ INFO ]  HV000001: Hibernate Validator 5.2.4.Final
